image,player_name,team,role,batting_style,bowling_style
https://static.cricbuzz.com/a/img/v1/i1/c616514/rohit-sharma.jpg?d=low&p=gthumb,Rohit Sharma,India,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c591942/yashasvi-jaiswal.jpg?d=low&p=gthumb,"Yashasvi Jaiswal
Batsman",India,Batsman,Left Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c616517/virat-kohli.jpg?d=low&p=gthumb,"Virat Kohli
Batsman",India,Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c352481/suryakumar-yadav.jpg?d=low&p=gthumb,"Suryakumar Yadav
Batsman",India,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c616519/hardik-pandya.jpg?d=low&p=gthumb,"Hardik Pandya
Batting Allrounder",India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c593805/shivam-dube.jpg?d=low&p=gthumb,"Shivam Dube
Batting Allrounder",India,Batting Allrounder,Left Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c616520/ravindra-jadeja.jpg?d=low&p=gthumb,"Ravindra Jadeja
Bowling Allrounder",India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616521/axar-patel.jpg?d=low&p=gthumb,"Axar Patel
Bowling Allrounder",India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616524/rishabh-pant.jpg?d=low&p=gthumb,"Rishabh Pant
WK-Batsman",India,WK-Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c226289/sanju-samson.jpg?d=low&p=gthumb,"Sanju Samson
WK-Batsman",India,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c616525/kuldeep-yadav.jpg?d=low&p=gthumb,"Kuldeep Yadav
Bowler",India,Bowler,Left Handed Bat,Left-arm wrist-spin
https://static.cricbuzz.com/a/img/v1/i1/c244981/yuzvendra-chahal.jpg?d=low&p=gthumb,"Yuzvendra Chahal
Bowler",India,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c616527/arshdeep-singh.jpg?d=low&p=gthumb,"Arshdeep Singh
Bowler",India,Bowler,Left Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c591949/jasprit-bumrah.jpg?d=low&p=gthumb,"Jasprit Bumrah
Bowler",India,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c591952/mohammed-siraj.jpg?d=low&p=gthumb,"Mohammed Siraj
Bowler",India,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c182026/ross-adair.jpg?d=low&p=gthumb,"Ross Adair
Batsman",Ireland,Batsman,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c244616/andrew-balbirnie.jpg?d=low&p=gthumb,"Andrew Balbirnie
Batsman",Ireland,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244641/harry-tector.jpg?d=low&p=gthumb,"Harry Tector
Batsman",Ireland,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244652/paul-stirling.jpg?d=low&p=gthumb,Paul Stirling,Ireland,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244628/gareth-delany.jpg?d=low&p=gthumb,"Gareth Delany
Batting Allrounder",Ireland,Batting Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c244625/curtis-campher.jpg?d=low&p=gthumb,"Curtis Campher
Bowling Allrounder",Ireland,Bowling Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c244638/george-dockrell.jpg?d=low&p=gthumb,"George Dockrell
Bowling Allrounder",Ireland,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/neil-rock.jpg?d=low&p=gthumb,"Neil Rock
WK-Batsman",Ireland,WK-Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244650/lorcan-tucker.jpg?d=low&p=gthumb,"Lorcan Tucker
WK-Batsman",Ireland,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244651/mark-adair.jpg?d=low&p=gthumb,"Mark Adair
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c182026/graham-hume.jpg?d=low&p=gthumb,"Graham Hume
Bowler",Ireland,Bowler,Left Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244649/joshua-little.jpg?d=low&p=gthumb,"Joshua Little
Bowler",Ireland,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244623/barry-mccarthy.jpg?d=low&p=gthumb,"Barry McCarthy
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c191068/craig-young.jpg?d=low&p=gthumb,"Craig Young
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/benjamin-white.jpg?d=low&p=gthumb,"Benjamin White
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c717793/harry-brook.jpg?d=low&p=gthumb,"Harry Brook
Batsman",England,Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c717790/ben-duckett.jpg?d=low&p=gthumb,"Ben Duckett
Batsman",England,Batsman,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c597794/moeen-ali.jpg?d=low&p=gthumb,"Moeen Ali
Batting Allrounder",England,Batting Allrounder,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c594344/will-jacks.jpg?d=low&p=gthumb,"Will Jacks
Batting Allrounder",England,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c617405/liam-livingstone.jpg?d=low&p=gthumb,"Liam Livingstone
Batting Allrounder",England,Batting Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c655387/sam-curran.jpg?d=low&p=gthumb,"Sam Curran
Bowling Allrounder",England,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c617407/jos-buttler.jpg?d=low&p=gthumb,Jos Buttler,England,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c351851/jonny-bairstow.jpg?d=low&p=gthumb,"Jonny Bairstow
WK-Batsman",England,WK-Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c617408/philip-salt.jpg?d=low&p=gthumb,"Philip Salt
WK-Batsman",England,WK-Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c617429/jofra-archer.jpg?d=low&p=gthumb,"Jofra Archer
Bowler",England,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c380064/tom-hartley.jpg?d=low&p=gthumb,"Tom Hartley
Bowler",England,Bowler,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c244783/chris-jordan.jpg?d=low&p=gthumb,"Chris Jordan
Bowler",England,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c617413/adil-rashid.jpg?d=low&p=gthumb,"Adil Rashid
Bowler",England,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c627475/reece-topley.jpg?d=low&p=gthumb,"Reece Topley
Bowler",England,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c617415/mark-wood.jpg?d=low&p=gthumb,"Mark Wood
Bowler",England,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c182026/aaron-johnson.jpg?d=low&p=gthumb,"Aaron Johnson
Batsman",Canada,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/ravinderpal-singh.jpg?d=low&p=gthumb,"Ravinderpal Singh
Batsman",Canada,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/nicholas-kirton.jpg?d=low&p=gthumb,"Nicholas Kirton
Batting Allrounder",Canada,Batting Allrounder,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/pargat-singh.jpg?d=low&p=gthumb,"Pargat Singh
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c157111/junaid-siddiqui.jpg?d=low&p=gthumb,"Junaid Siddiqui
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/navneet-dhaliwal.jpg?d=low&p=gthumb,"Navneet Dhaliwal
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/rayyan-pathan.jpg?d=low&p=gthumb,"Rayyan Pathan
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/dilpreet-bajwa.jpg?d=low&p=gthumb,"Dilpreet Bajwa
Bowling Allrounder",Canada,Bowling Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/saad-bin-zafar.jpg?d=low&p=gthumb,Saad Bin Zafar,Canada,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/shreyas-movva.jpg?d=low&p=gthumb,"Shreyas Movva
WK-Batsman",Canada,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/dilon-heyliger.jpg?d=low&p=gthumb,"Dilon Heyliger
Bowler",Canada,Bowler,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c157994/jeremy-gordon.jpg?d=low&p=gthumb,"Jeremy Gordon
Bowler",Canada,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/kaleem-sana.jpg?d=low&p=gthumb,"Kaleem Sana
Bowler",Canada,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c155655/nikhil-dutta.jpg?d=low&p=gthumb,"Nikhil Dutta
Bowler",Canada,Bowler,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c156279/rishiv-ragav-joshi.jpg?d=low&p=gthumb,"Rishiv Ragav Joshi
Bowler",Canada,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/aaron-jones.jpg?d=low&p=gthumb,"Aaron Jones
Batsman",United States,Batsman,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c156268/nitish-kumar.jpg?d=low&p=gthumb,"Nitish Kumar
Batsman",United States,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/milind-kumar.jpg?d=low&p=gthumb,"Milind Kumar
Batting Allrounder",United States,Batting Allrounder,Right Handed Bat,Right-arm offbreak
